view1,view2,correspondences,formula_relative_error,camera_center_relative_residual,projected_point_sampson_max,projected_point_normalized_residual_max,rank_ratio,observation_sampson_median,transpose_sampson_median,lott_certified,lott_failures,hs_finite,both_finite,lott_cost_mean,hs_cost_mean,gap_mean,gap_abs_max,lott_normalized_residual_max,hs_normalized_residual_max
4,17,1,1.111358083056458e-16,8.4320711437581783e-17,4.0421693968740503e-10,1.1784667500811217e-19,2.624504333132292e-23,1.485603006199989,36.684829134144557,1,0,1,1,2.2070042404914387,2.2070042404916164,-1.7763568394002505e-13,1.7763568394002505e-13,7.3801696530511148e-22,0
4,18,1,1.110442664411354e-16,8.4320711437581783e-17,3.4345051326231729e-10,1.6051117797329298e-19,2.8607018420795477e-23,1.3042422336969903,36.120736690406702,1,0,1,1,1.7010380196173966,1.7010380196176131,-2.1649348980190553e-13,2.1649348980190553e-13,3.7041414632712534e-22,3.7041414632712539e-22
4,19,1,1.1103718693343087e-16,8.4320711437581783e-17,3.6576811961995644e-10,2.2550332371827566e-19,7.9187537675155508e-24,1.1782253890392553,32.451799190648771,1,0,1,1,1.3882065892249709,1.3882065892248527,1.1812772982011666e-13,1.1812772982011666e-13,1.8541361603250222e-22,1.8541361603250232e-22
4,20,1,1.1105433666181148e-16,8.4320711437581783e-17,5.4342540499261313e-10,2.3119798071717271e-19,9.8170954465155706e-23,0.97263233863242438,24.991592184010344,1,0,1,1,0.94600823029887748,0.94600823029898029,-1.028066520802895e-13,1.028066520802895e-13,3.6998272182260929e-22,5.5497408273391393e-22
4,21,1,1.110293035552107e-16,8.4320711437581783e-17,6.34243739597719e-10,2.0470202860646237e-19,1.5557185951761255e-22,0.78932446184388294,14.164486642393539,1,0,1,1,0.62302994835733583,0.62302994835733294,2.886579864025407e-15,2.886579864025407e-15,1.8412487757988368e-22,7.3649951031953455e-22
5,6,219,1.4139735160402718e-15,1.4172655828230043e-16,4.2640718204648177e-08,1.8451499689468255e-17,2.7061193941725331e-23,0.1339802307122159,6.4749706096912325,219,0,219,219,0.093315477462794963,0.093315477462791757,3.2204048354423699e-15,2.2470914018413168e-13,5.8111608614865284e-20,5.0440735485372231e-20
5,7,128,5.2082862644770982e-16,1.4172655828230043e-16,4.4123518246076973e-09,2.1325513837856677e-18,3.2585952613997006e-22,0.23859758335501779,13.026248802444339,128,0,128,128,0.16715025457440932,0.16715025457441016,-9.8814222396275826e-16,2.3814283878209608e-13,2.67358304519192e-20,1.7322248060321174e-20
5,8,70,2.5599567657940313e-16,1.4172655828230043e-16,1.7219001718509305e-09,5.0881682690685705e-19,7.8042157842384107e-23,0.36944320393304297,15.056358833239756,70,0,70,70,0.70822722637718705,0.7082272263772087,-2.1609296712667395e-14,1.2718714970105793e-12,1.6452824707321318e-20,1.3700326397475714e-20
5,9,27,1.2250390422467502e-16,1.4172655828230043e-16,9.8345368648626254e-10,2.1292730841432749e-19,3.7703404477862449e-22,0.32538979011296137,16.608620258204933,27,0,27,27,0.26548711670417563,0.26548711670418101,-5.3378405091070788e-15,2.0883295093199195e-13,1.413519082641869e-20,8.5162788645405136e-21
5,10,21,1.194713682164944e-16,1.4172655828230043e-16,6.545424044175794e-10,1.1960653435395527e-19,4.3669275553000027e-22,0.41973736570214354,19.520022376509349,21,0,21,21,0.37398081897610636,0.37398081897612062,-1.4198124374693403e-14,1.9584334154387761e-13,8.8561174711558034e-21,4.4587859429903462e-21
